post_id,caption,media_url,cover_url,likes,comments,shares,collects,views,followers,createTime_epoch,created_at_iso,music_name,hashtag_list,hashtag_str,hashtag_count,created_at,caption_clean,caption_length,word_count,total_interactions,engagement_rate,likes_log1p,comments_log1p,shares_log1p,views_log1p,followers_log1p,total_interactions_log1p,engagement_level,emoji_count,has_trend_keyword,has_trend_hashtag,has_trend_song,is_related_gameshow,created_at_vn,time,is_weekend
7.193595357778005e+18,"#hariwon đang khen nó vậy mà....
#cat #meo ",https://api.apify.com/v2/key-value-stores/pewPl1bxVYGkzAID4/records/video-hariwonday-20230128070402-7193595357778005275.mp4,https://api.apify.com/v2/key-value-stores/pewPl1bxVYGkzAID4/records/cover-hariwonday-20230128070402-7193595357778005275.jpg,10100.0,79.0,36.0,209.0,388100.0,4300000.0,1674889442.0,2023-01-28T07:04:02.000Z,Tại Sao Lại Xinh Như Thế,"['#hariwon', '#cat', '#meo']",#hariwon #cat #meo,3,2023-01-28 07:04:02+00:00,đang khen nó vậy mà,19,5,10424.0,0.0268590569440865,9.220389707829185,4.382026634673881,3.610917912644224,12.86902089400918,15.274125813221904,9.251962046667002,low,0,0,0,0,0,2023-01-28 14:04:02+07:00,14,1
7.023216144689483e+18,Ai rồi cũng sẽ tìm được ấm êm sau khổ đau...chỉ là không cùng nhau!!! Version tam ca #ngokienhuy #tangphuc #nguyenha,https://api.apify.com/v2/key-value-stores/QLUkZF49HswusRGYJ/records/video-ngokienhuy-20211026034536-7023216144689483035.mp4,https://api.apify.com/v2/key-value-stores/QLUkZF49HswusRGYJ/records/cover-ngokienhuy-20211026034536-7023216144689483035.jpg,60000.0,324.0,325.0,238.0,727900.0,3000000.0,1635219936.0,2021-10-26T03:45:36.000Z,nhạc nền - Ngô Kiến Huy,"['#ngokienhuy', '#tangphuc', '#nguyenha']",#ngokienhuy #tangphuc #nguyenha,3,2021-10-26 03:45:36+00:00,ai rồi cũng sẽ tìm được ấm êm sau khổ đau chỉ là không cùng nhau version tam ca,79,19,60887.0,0.0836474790493199,11.002116507732016,5.783825182329737,5.786897381366708,13.49792032892049,14.914123179965662,11.016791389947228,high,0,0,0,0,0,2021-10-26 10:45:36+07:00,10,0
7.482747708306951e+18,Tôi mỗi khi đi tắm 🥲,https://api.apify.com/v2/key-value-stores/2zqu3fV3Gd6pfBg1C/records/video-samngoffic-20250317120257-7482747708306951444.mp4,https://api.apify.com/v2/key-value-stores/2zqu3fV3Gd6pfBg1C/records/cover-samngoffic-20250317120257-7482747708306951444.jpg,100300.0,1515.0,14900.0,2300.0,2500000.0,2200000.0,1742212977.0,2025-03-17T12:02:57.000Z,Stealthy mischief(1088178),[],,0,2025-03-17 12:02:57+00:00,tôi mỗi khi đi tắm,18,5,119015.0,0.047606,11.515930943990057,7.323830566202317,9.60918360377546,14.731801689838347,14.603968372873895,11.68701321683708,medium,1,0,0,1,0,2025-03-17 19:02:57+07:00,19,0
7.239971623003049e+18,Tủ Sách Ước Mơ - Phần 1 | Điểm trường Làng Quá| Lũng Hồ | Hà Giang  #NuoiEm #HaGiang #LearnOnTikTok #DiSanVietNam #Tusachuocmo ,https://api.apify.com/v2/key-value-stores/awoyBmj2vRJYsw0RR/records/video-lebong95-20230602062736-7239971623003049222.mp4,https://api.apify.com/v2/key-value-stores/awoyBmj2vRJYsw0RR/records/cover-lebong95-20230602062736-7239971623003049222.jpg,284900.0,1272.0,800.0,8453.0,5000000.0,10100000.0,1685687256.0,2023-06-02T06:27:36.000Z,Nấu ăn cho em,"['#nuoiem', '#hagiang', '#learnontiktok', '#disanvietnam', '#tusachuocmo']",#nuoiem #hagiang #learnontiktok #disanvietnam #tusachuocmo,5,2023-06-02 06:27:36+00:00,tủ sách ước mơ phần 1 điểm trường làng quá lũng hồ hà giang,59,14,295425.0,0.059085,12.55989703048335,7.149131598557407,6.68586094706836,15.424948670398354,16.128046080821385,12.596173661455367,medium,0,1,0,0,0,2023-06-02 13:27:36+07:00,13,0
7.422615494961794e+18,"Con vịttttt kiaaa , cạp cạp cạp 

#ninhduonglanngoc #ditimniemvui #ndln ",https://api.apify.com/v2/key-value-stores/YxfQAy6b2zxudWjbC/records/video-ninhduongl-20241006105907-7422615494961794322.mp4,https://api.apify.com/v2/key-value-stores/YxfQAy6b2zxudWjbC/records/cover-ninhduongl-20241006105907-7422615494961794322.jpg,69500.0,627.0,912.0,1963.0,2900000.0,4000000.0,1728212347.0,2024-10-06T10:59:07.000Z,nhạc nền - Ninh Dương Lan Ngọc,"['#ninhduonglanngoc', '#ditimniemvui', '#ndln']",#ninhduonglanngoc #ditimniemvui #ndln,3,2024-10-06 10:59:07+00:00,con vịttttt kiaaa cạp cạp cạp,29,6,73002.0,0.0251731034482758,11.149096419938578,6.442540166468199,6.816735880594968,14.88022163978423,15.201805169084134,11.198255815176529,low,0,0,0,0,0,2024-10-06 17:59:07+07:00,17,1
7.51987269129426e+18,Anh Em mình luôn tự hào là người Việt Nam #VinFast #ManhLietTinhThanVietNam #ViTuongLaiXanh ,https://api.apify.com/v2/key-value-stores/oCk5QnAjzb0seYv7v/records/video-fabonguyen-20250625130642-7519872691294260487.mp4,https://api.apify.com/v2/key-value-stores/oCk5QnAjzb0seYv7v/records/cover-fabonguyen-20250625130642-7519872691294260487.jpg,22900.0,19.0,8126.0,29.0,246500.0,355600.0,1750856802.0,2025-06-25T13:06:42.000Z,nhạc nền - Fabo Nguyen,"['#vinfast', '#manhliettinhthanvietnam', '#vituonglaixanh']",#vinfast #manhliettinhthanvietnam #vituonglaixanh,3,2025-06-25 13:06:42+00:00,anh em mình luôn tự hào là người việt nam,41,10,31074.0,0.1260608519269777,10.038935856711175,2.995732273553991,9.002947130753205,12.415121329251784,12.781564594766412,10.344158916378912,high,0,1,0,0,0,2025-06-25 20:06:42+07:00,20,0
7.499326424600284e+18,"💥 VOUCHER LÊN ĐẾN 25% 
💥VOUCHER LÊN ĐẾN 4 TRIỆU ĐỒNG 
💥FREESHIP TOÀN BỘ ĐƠN HÀNG

🎁 Quà tặng siêu khủng ĐỘC QUYỀN DÀNH CHO KHÁCH HÀNG MUA HÀNG TRÊN LIVESTREAM,... và hơn 100 Giftaway khác dành cho các bạn may mắn khi tham gia livestream vào ngày 04.05

🗓️ Vào lúc 12h00 ngày 04.05 – 1h00 ngày 05.05

#Shopeelive0405 #ShopeeliveWooVN0405 #Cothamvelang #Sam ",,https://api.apify.com/v2/key-value-stores/2zqu3fV3Gd6pfBg1C/records/cover-samngoffic-20250501041647-7499326424600284423.jpg,1477.0,34.0,84.0,107.0,996900.0,2200000.0,1746073007.0,2025-05-01T04:16:47.000Z,nhạc nền - 𝙏𝙝𝙚 𝙌𝙪𝙤𝙘,"['#shopeelive0405', '#shopeelivewoovn0405', '#cothamvelang', '#sam']",#shopeelive0405 #shopeelivewoovn0405 #cothamvelang #sam,4,2025-05-01 04:16:47+00:00,voucher lên đến 25 voucher lên đến 4 triệu đồng freeship toàn bộ đơn hàng quà tặng siêu khủng độc quyền dành cho khách hàng mua hàng trên livestream và hơn 100 giftaway khác dành cho các bạn may mắn khi tham gia livestream vào ngày 04 05 vào lúc 12h00 ngày 04 05 1h00 ngày 05 05,278,58,1702.0,0.0017072926070819,7.298445101508147,3.555348061489413,4.442651256490317,13.812406746119931,14.603968372873895,7.440146680662688,low,5,1,0,0,0,2025-05-01 11:16:47+07:00,11,0
7.295233707303128e+18,Lần đầu em Châu được kết hợp với chị Đông Nhi trong một shoot hình sẽ như thế nào???😘💖 #chaubui #dongnhi #behindthescenes #fyp #viral ,https://api.apify.com/v2/key-value-stores/awoyBmj2vRJYsw0RR/records/video-chaubui-20231029043243-7295233707303128328.mp4,https://api.apify.com/v2/key-value-stores/awoyBmj2vRJYsw0RR/records/cover-chaubui-20231029043243-7295233707303128328.jpg,7086.0,56.0,13.0,115.0,232200.0,2100000.0,1698553963.0,2023-10-29T04:32:43.000Z,Ladyfingers by Herb Alpert and The Tijuana Brass,"['#chaubui', '#dongnhi', '#behindthescenes', '#fyp', '#viral']",#chaubui #dongnhi #behindthescenes #fyp #viral,5,2023-10-29 04:32:43+00:00,lần đầu em châu được kết hợp với chị đông nhi trong một shoot hình sẽ như thế nào,81,19,7270.0,0.0313092161929371,8.866017398810255,4.04305126783455,2.639057329615259,12.355358654868867,14.557448378884017,8.891649112650057,low,2,1,1,0,0,2023-10-29 11:32:43+07:00,11,1
6.731693146666798e+18,Ảo thuật gia đại tài. Ư ư.,https://api.apify.com/v2/key-value-stores/awoyBmj2vRJYsw0RR/records/video-mcmisthy-20190901132731-6731693146666798338.mp4,https://api.apify.com/v2/key-value-stores/awoyBmj2vRJYsw0RR/records/cover-mcmisthy-20190901132731-6731693146666798338.jpg,634100.0,3439.0,3752.0,1124.0,12600000.0,5200000.0,1567344451.0,2019-09-01T13:27:31.000Z,Hahahaha,[],,0,2019-09-01 13:27:31+00:00,ảo thuật gia đại tài ư ư,24,7,642415.0,0.0509853174603174,13.3599635267252,8.143226750367443,8.23031079913502,16.349207451286784,15.46416937585933,13.372991347904774,medium,0,0,0,0,0,2019-09-01 20:27:31+07:00,20,1
7.218550982135909e+18,"Hay Nel Nel quá, quạo thiệt chớ :))))) #BadRabbit #Localbrandvietnam #fabonguyen ",https://api.apify.com/v2/key-value-stores/oCk5QnAjzb0seYv7v/records/video-fabonguyen-20230405130438-7218550982135909650.mp4,https://api.apify.com/v2/key-value-stores/oCk5QnAjzb0seYv7v/records/cover-fabonguyen-20230405130438-7218550982135909650.jpg,2401.0,10.0,11.0,16.0,489200.0,355600.0,1680699878.0,2023-04-05T13:04:38.000Z,original sound - Fabo Nguyen,"['#badrabbit', '#localbrandvietnam', '#fabonguyen']",#badrabbit #localbrandvietnam #fabonguyen,3,2023-04-05 13:04:38+00:00,hay nel nel quá quạo thiệt chớ,30,7,2438.0,0.0049836467702371,7.784057002639929,2.3978952727983707,2.4849066497880004,13.100528726946786,12.781564594766412,7.79934339821592,low,0,0,0,0,0,2023-04-05 20:04:38+07:00,20,0
