likes_log1p_thucte,views_log1p_thucte,shares_log1p_thucte,likes_log1p_predict,views_log1p_predict,shares_log1p_predict,likes_accuracy_%,views_accuracy_%,shares_accuracy_%
9.220389707829185,12.86902089400918,3.610917912644224,10.756772,13.758254,5.2808423,83.3371215081392,93.09012577939575,53.753465684224025
11.002116507732016,13.49792032892049,5.786897381366708,9.836946,12.8990965,4.6104116,89.40957430181074,95.5635844235588,79.66983584030791
11.515930943990057,14.731801689838347,9.60918360377546,10.106217,13.284194,4.8326397,87.75857925418197,90.1735868585434,50.29188631919904
12.55989703048335,15.424948670398354,6.68586094706836,11.186391,14.195365,5.578081,89.06435179858737,92.02860414913006,83.43100724264005
11.149096419938578,14.88022163978423,6.816735880594968,10.682891,13.53128,5.207197,95.81844563586313,90.9346640894525,76.38842520148467
10.038935856711175,12.415121329251784,9.002947130753205,8.49798,12.382147,4.097737,84.65020833972983,99.73440055034385,45.515504822662564
7.298445101508147,13.812406746119931,4.442651256490317,7.6629567,13.781501,4.084661,95.00562643066729,99.77624515160329,91.94196823259907
8.866017398810255,12.355358654868867,2.639057329615259,9.781616,13.035168,4.5790963,89.67294140151236,94.49786074032713,26.487425418725792
13.3599635267252,16.349207451286784,8.23031079913502,10.941056,13.673927,6.4769783,81.89435719371124,83.63663711449624,78.69664293458592
7.784057002639929,13.100528726946786,2.4849066497880004,7.3147182,11.653177,3.9116797,93.97051234310342,88.95196143788337,42.58242678636706
9.401043372798052,12.232719445013917,3.4339872044851463,10.889092,13.536558,5.336419,84.17144764078891,89.34138306619427,44.59991293619662
11.33381076072374,13.910821646859096,7.217443431696533,9.753477,12.968042,5.312145,86.05646681835715,93.22269167749168,73.60148068255276
9.38437770918244,12.092909546513004,3.87120101090789,9.241883,11.785849,3.990005,98.4815782601126,97.46081844259031,96.93108146323944
8.239329427901795,13.278171539990662,4.990432586778736,8.464793,12.4132805,4.2732816,97.26356641845244,93.48636933688293,85.62948201265291
9.933094897288786,12.719198621456204,2.8903717578961645,9.950815,13.211324,4.7967176,99.82160340055027,96.13084808808813,34.04495872775847
10.038935856711175,13.374212551572054,3.4011973816621555,8.155024,11.863097,3.0255425,81.23394442626456,88.70127601989174,88.95521659364309
9.11679862756782,12.45098160251256,3.367295829986474,10.041333,13.10517,4.6094956,89.85899975695534,94.74588696449128,63.109869980757196
10.62135173563291,14.077875591662238,5.3981627015177525,7.522913,12.338031,3.5916998,70.82820686455402,87.64128319497178,66.53559807725803
10.907807476583594,13.19617316224749,5.123963979403259,10.291926,13.362042,5.6125083,94.35375904888703,98.74305025573605,90.46550054748452
6.045005314036012,9.142703723260372,1.0986122886681096,6.485574,8.721671,3.6119897,92.71185992910964,95.39487845637991,-128.77747443877246
10.106469212026385,13.48325083623038,5.247024072160486,10.559065,13.353112,4.897455,95.5217233279913,99.03481276847177,93.33776914496892
9.857495968685136,12.294088101596984,3.7612001156935615,10.087531,13.078104,4.8395424,97.666393962236,93.62282170837695,71.32983515758482
9.189423123720797,12.385477452742728,4.836281906951478,10.301025,13.194364,4.8755846,87.90345974999445,93.46907582369123,99.18733654984034
9.23024103368252,12.505810504075184,5.8111409929767,8.956326,12.54532,4.7489023,97.03241224495545,99.68407443002688,81.72065221961235
13.455402585062116,16.15731646026544,8.056743774975313,12.530009,15.248228,7.219565,93.1225148448913,94.37351871283217,89.60896754750638
